            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458043.958333333, A.D. 2017-Oct-17 11:00:00.0000,  4.280631736545982E+09, -1.319447033405378E+09, -7.147995462083906E+07,
2458044.000000000, A.D. 2017-Oct-17 12:00:00.0000,  4.280637368852347E+09, -1.319428217531487E+09, -7.148047032920140E+07,
2458044.041666667, A.D. 2017-Oct-17 13:00:00.0000,  4.280643001082487E+09, -1.319409401639338E+09, -7.148098604723251E+07,
2458044.083333333, A.D. 2017-Oct-17 14:00:00.0000,  4.280648633236421E+09, -1.319390585728904E+09, -7.148150177492160E+07,
2458044.125000000, A.D. 2017-Oct-17 15:00:00.0000,  4.280654265314168E+09, -1.319371769800156E+09, -7.148201751225793E+07,
2458044.166666667, A.D. 2017-Oct-17 16:00:00.0000,  4.280659897315749E+09, -1.319352953853066E+09, -7.148253325923097E+07,
2458044.208333333, A.D. 2017-Oct-17 17:00:00.0000,  4.280665529241182E+09, -1.319334137887608E+09, -7.148304901582974E+07,
2458044.250000000, A.D. 2017-Oct-17 18:00:00.0000,  4.280671161090487E+09, -1.319315321903752E+09, -7.148356478204405E+07,
2458044.291666667, A.D. 2017-Oct-17 19:00:00.0000,  4.280676792863685E+09, -1.319296505901470E+09, -7.148408055786234E+07,
2458044.333333333, A.D. 2017-Oct-17 20:00:00.0000,  4.280682424560794E+09, -1.319277689880735E+09, -7.148459634327459E+07,
2458044.375000000, A.D. 2017-Oct-17 21:00:00.0000,  4.280688056181834E+09, -1.319258873841518E+09, -7.148511213827008E+07,
2458044.416666667, A.D. 2017-Oct-17 22:00:00.0000,  4.280693687726824E+09, -1.319240057783792E+09, -7.148562794283789E+07,
2458044.458333333, A.D. 2017-Oct-17 23:00:00.0000,  4.280699319195785E+09, -1.319221241707527E+09, -7.148614375696743E+07,
2458044.500000000, A.D. 2017-Oct-18 00:00:00.0000,  4.280704950588735E+09, -1.319202425612698E+09, -7.148665958064777E+07,
2458044.541666667, A.D. 2017-Oct-18 01:00:00.0000,  4.280710581905694E+09, -1.319183609499274E+09, -7.148717541386867E+07,
2458044.583333333, A.D. 2017-Oct-18 02:00:00.0000,  4.280716213146683E+09, -1.319164793367229E+09, -7.148769125661898E+07,
2458044.625000000, A.D. 2017-Oct-18 03:00:00.0000,  4.280721844311719E+09, -1.319145977216535E+09, -7.148820710888797E+07,
2458044.666666667, A.D. 2017-Oct-18 04:00:00.0000,  4.280727475400824E+09, -1.319127161047162E+09, -7.148872297066528E+07,
2458044.708333333, A.D. 2017-Oct-18 05:00:00.0000,  4.280733106414016E+09, -1.319108344859084E+09, -7.148923884194016E+07,
2458044.750000000, A.D. 2017-Oct-18 06:00:00.0000,  4.280738737351315E+09, -1.319089528652272E+09, -7.148975472270185E+07,
2458044.791666667, A.D. 2017-Oct-18 07:00:00.0000,  4.280744368212741E+09, -1.319070712426697E+09, -7.149027061293960E+07,
2458044.833333333, A.D. 2017-Oct-18 08:00:00.0000,  4.280749998998313E+09, -1.319051896182334E+09, -7.149078651264268E+07,
2458044.875000000, A.D. 2017-Oct-18 09:00:00.0000,  4.280755629708051E+09, -1.319033079919152E+09, -7.149130242180055E+07,
2458044.916666667, A.D. 2017-Oct-18 10:00:00.0000,  4.280761260341974E+09, -1.319014263637125E+09, -7.149181834040219E+07,
